BI-Vital CA7F, STM_FW 2.0-23-g1ecdf25, NRF_FW 2.0, Config #1379835368, Start Time 1970-01-01 00:00:09, Uptime 00:00:09, Global Update intervall 5 ms
Updatinterval [ms], 5, 5, 1280, 10000, 10000, 10000, 1000, 1000, 1000, 100, 10000
  10.700,  89,  929,    ,       ,       ,        ,  263.69,  -80.62,  -28.81,          ,    
  10.875,    ,     ,   0,       ,       ,        ,        ,        ,        ,          ,    
  11.115, 104,  535,    ,       ,       ,        ,        ,        ,        ,          ,    
  11.410,    ,     ,    ,       ,       ,        ,  207.88,  -76.88,   44.25,          ,    
  11.955, 106,  538,    ,       ,       ,        ,        ,        ,        ,          ,    
  12.050, 109,  542,    ,       ,       ,        ,        ,        ,        ,          ,    
  12.115,    ,     ,   0,       ,       ,        ,        ,        ,        ,          ,    
  12.495,    ,     ,    ,       ,       ,        ,  168.25,  -79.00,   10.69,          ,    
  13.030, 110,  538,    ,       ,       ,        ,        ,        ,        ,          ,    
  13.250, 110,  534,    ,       ,       ,        ,        ,        ,        ,          ,    
  13.570,    ,     ,   0,       ,       ,        ,  166.25,  -77.94,  -15.88,          ,    
  14.120, 110,  538,    ,       ,       ,        ,        ,        ,        ,          ,    
  14.170, 110,  549,    ,       ,       ,        ,        ,        ,        ,          ,    
  14.680,    ,     ,    ,       ,       ,        ,  183.31,  -79.44,  -10.50,          ,    
  15.270, 110,  562,   0,       ,       ,        ,        ,        ,        ,          ,    
  15.860, 109,  586,    ,       ,       ,        ,  213.94,  -76.94,   16.19,          ,    
  16.170, 106,  589,   0,       ,       ,        ,        ,        ,        ,          ,    
  16.460,    ,     ,    ,       ,       ,        ,  228.69,  -74.75,   24.50,          ,    
  17.080, 102,  602,    ,       ,       ,        ,        ,        ,        ,          ,    
  17.150, 101,  619,    ,       ,       ,        ,        ,        ,        ,          ,    
  17.170,    ,     ,   0,       ,       ,        ,        ,        ,        ,          ,    
  17.715,    ,     ,    ,       ,       ,        ,  181.19,  -78.88,  -16.81,          ,    
  18.325,  99,  633,    ,       ,       ,        ,        ,        ,        ,          ,    
  18.350,  98,  611,    ,       ,       ,        ,  147.88,  -79.50,   40.12,          ,    
  18.930,    ,     ,   0,       ,       ,        ,        ,        ,        ,          ,    
  19.220,  98,  600,    ,       ,       ,        ,        ,        ,        ,          ,    
  19.700,  98,  289,    ,  30.16,  46.34, 1023.86,  113.88,  -81.19,  -46.94,          ,  92
  20.175,    ,     ,   0,       ,       ,        ,        ,        ,        ,          ,    
  20.705,    ,     ,    ,       ,       ,        ,  121.19,  -80.19,  -11.56,          ,    
  21.050,  98, 1487,    ,       ,       ,        ,        ,        ,        ,          ,    
  21.285,    ,     ,   0,       ,       ,        ,        ,        ,        ,          ,    
  22.345,  98,  577,    ,       ,       ,        ,  133.56,  -84.56,    5.19,          ,    
  23.175,  98, 1057,   0,       ,       ,        ,  126.12,  -87.94,    1.75,          ,    
  23.725,    ,     ,    ,       ,       ,        ,   49.69,  -67.25, -106.88,          ,    
  24.175,  62, 1379,   0,       ,       ,        ,        ,        ,        ,          ,    
  24.515,    ,     ,    ,       ,       ,        ,   46.69,  -84.25,    2.69,          ,    
  24.880,  56,  792,    ,       ,       ,        ,        ,        ,        ,          ,    
  25.175,  72,  364,   0,       ,       ,        ,        ,        ,        ,          ,    
  25.440,    ,     ,    ,       ,       ,        ,   39.00,  -84.25,   -2.25,          ,    
  25.995,  74,  559,    ,       ,       ,        ,        ,        ,        ,          ,    
  26.150, 102,  554,    ,       ,       ,        ,        ,        ,        ,          ,    
  26.175,    ,     ,   0,       ,       ,        ,        ,        ,        ,          ,    
  26.555,    ,     ,    ,       ,       ,        ,   48.88,  -82.19,   10.00,          ,    
  27.115, 106,  558,    ,       ,       ,        ,        ,        ,        ,          ,    
  27.175, 106,  559,    ,       ,       ,        ,        ,        ,        ,          ,    
  27.350,    ,     ,    ,       ,       ,        ,   48.69,  -79.94,   35.50,          ,    
  27.685,    ,     ,   0,       ,       ,        ,        ,        ,        ,          ,    
  28.250, 106,  571,    ,       ,       ,        ,        ,        ,        ,          ,    
  28.835, 106,  564,    ,       ,       ,        ,   20.69,  -82.38,   22.38,          ,    
  29.005, 106,  581,   0,       ,       ,        ,        ,        ,        ,          ,    
  29.120,    ,     ,    ,  30.37,  45.86, 1023.91,        ,        ,        ,          ,    
  29.440,    ,     ,    ,       ,       ,        ,        ,        ,        ,          ,  92
  29.900, 105,  607,    ,       ,       ,        ,  356.94,  -82.38,  -16.56,          ,    
  30.095,    ,     ,   0,       ,       ,        ,        ,        ,        ,          ,    
  30.175, 103,  650,    ,       ,       ,        ,        ,        ,        ,          ,    
  30.730,    ,     ,    ,       ,       ,        ,   13.50,  -79.06,   48.88,          ,    
  31.360,  98,  638,    ,       ,       ,        ,        ,        ,        ,          ,    
  31.985,  96,  625,   0,       ,       ,        ,  350.38,  -80.62,   38.44,          ,    
  32.175,  95,  627,    ,       ,       ,        ,        ,        ,        ,          ,    
  32.450,    ,     ,    ,       ,       ,        ,  319.38,  -84.31,    0.81,          ,    
  32.600,    ,     ,   0,       ,       ,        ,        ,        ,        ,          ,    
  33.195,  95,  615,    ,       ,       ,        ,        ,        ,        ,          ,    
  33.795,  95,  593,    ,       ,       ,        ,  315.12,  -80.56,   37.56,          ,    
  33.800,  96,  596,    ,       ,       ,        ,        ,        ,        ,          ,    
  34.375,    ,     ,   0,       ,       ,        ,        ,        ,        ,          ,    
  34.955,  99,  579,    ,       ,       ,        ,  223.50,  -83.31,   -6.38,          ,    
  35.000, 100,  579,    ,       ,       ,        ,        ,        ,        ,          ,    
  35.175,    ,     ,   0,       ,       ,        ,        ,        ,        ,          ,    
  35.530,    ,     ,    ,       ,       ,        ,  195.38,  -82.31,   56.19,          ,    
  36.110, 102,  578,    ,       ,       ,        ,        ,        ,        ,          ,    
  36.175, 102,  576,    ,       ,       ,        ,        ,        ,        ,          ,    
  36.350,    ,     ,    ,       ,       ,        ,  172.38,  -81.88,   14.69,          ,    
  36.685,    ,     ,   0,       ,       ,        ,        ,        ,        ,          ,    
  37.270, 102,  573,    ,       ,       ,        ,        ,        ,        ,          ,    
  37.550, 102,  585,    ,       ,       ,        ,  163.69,  -81.62,   10.56,          ,    
  37.855,    ,     ,   0,       ,       ,        ,        ,        ,        ,          ,    
  38.175, 102,  585,    ,       ,       ,        ,        ,        ,        ,          ,    
  38.450,    ,     ,    ,       ,       ,        ,  177.69,  -77.88,   41.38,          ,    
  39.045, 102,  593,    ,       ,       ,        ,        ,        ,        ,          ,    
  39.120, 102,  593,   0,  30.52,  45.45, 1023.93,        ,        ,        ,          ,    
  39.175,    ,     ,    ,       ,       ,        ,        ,        ,        ,          ,  92
  39.660,    ,     ,    ,       ,       ,        ,  175.31,  -80.62,   21.69,          ,    
  40.285, 101,  616,    ,       ,       ,        ,        ,        ,        ,          ,    
  40.910, 101,  625,   0,       ,       ,        ,  176.12,  -81.44,    9.38,          ,    
  41.175,  97,  623,    ,       ,       ,        ,        ,        ,        ,          ,    
  41.515,    ,     ,    ,       ,       ,        ,  213.19,  -80.12,   36.88,          ,    
  42.130,  97,  605,   0,       ,       ,        ,        ,        ,        ,          ,    
  42.175,  97,  612,    ,       ,       ,        ,        ,        ,        ,          ,    
  42.740,    ,     ,    ,       ,       ,        ,  222.38,  -83.44,    1.62,          ,    
  42.800,  97,  611,    ,       ,       ,        ,        ,        ,        ,          ,    
  43.340,    ,     ,   0,       ,       ,        ,        ,        ,        ,          ,    
  43.935,  97,  597,    ,       ,       ,        ,  229.75,  -81.25,    8.06,          ,    
  44.000,  98,  597,    ,       ,       ,        ,        ,        ,        ,          ,    
  44.175,    ,     ,   0,       ,       ,        ,        ,        ,        ,          ,    
  44.535,    ,     ,    ,       ,       ,        ,  270.19,  -79.69,    4.38,          ,    
  45.130,  99,  598,    ,       ,       ,        ,        ,        ,        ,          ,    
  45.175,  99,  591,    ,       ,       ,        ,        ,        ,        ,          ,    
  45.350,    ,     ,    ,       ,       ,        ,  266.00,  -79.62,  -24.19,          ,    
  45.720,    ,     ,   0,       ,       ,        ,        ,        ,        ,          ,    
  46.315,  99,  592,    ,       ,       ,        ,        ,        ,        ,          ,    
  46.550, 100,  592,    ,       ,       ,        ,  270.94,  -83.19,    2.00,          ,    
  46.895,    ,     ,   0,       ,       ,        ,        ,        ,        ,          ,    
  47.175, 100,  581,    ,       ,       ,        ,        ,        ,        ,          ,    
  47.475,    ,     ,    ,       ,       ,        ,  276.12,  -80.81,   -1.06,          ,    
  48.045, 100,  578,    ,       ,       ,        ,        ,        ,        ,          ,    
  48.175, 102,  570,   0,       ,       ,        ,        ,        ,        ,          ,    
  48.605,    ,     ,    ,       ,       ,        ,  280.25,  -78.25,    8.00,          ,    
  49.165, 102,  558,    ,       ,       ,        ,        ,        ,        ,          ,    
  49.175, 104,  557,   0,  30.66,  45.03, 1023.92,        ,        ,        ,          ,  92
  49.720,    ,     ,    ,       ,       ,        ,  274.12,  -60.44,   11.38,          ,    
  50.285, 106,  555,    ,       ,       ,        ,        ,        ,        ,          ,    
  50.450, 106,  563,    ,       ,       ,        ,  270.44,  -60.25,   12.50,          ,    
  50.855,    ,     ,   0,       ,       ,        ,        ,        ,        ,      long,    
  51.175, 106,  570,    ,       ,       ,        ,        ,        ,        ,          ,    
  51.430,    ,     ,    ,       ,       ,        ,  269.62,  -59.69,   12.88,          ,    
  51.650, 106,  572,    ,       ,       ,        ,        ,        ,        ,          ,    
  52.010,    ,     ,   2,       ,       ,        ,        ,        ,        ,          ,    
  52.175, 105,  579,    ,       ,       ,        ,        ,        ,        ,          ,    
  52.595,    ,     ,    ,       ,       ,        ,  269.75,  -60.75,   13.50,          ,    
  53.000, 104,  588,    ,       ,       ,        ,        ,        ,        ,          ,    
  53.200,    ,     ,   0,       ,       ,        ,        ,        ,        ,          ,    
